,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
141,saint-philippe,RE,2021-01-13 15:20:15,-21.3585,55.7679,75,83,80.86999999999996,1.03
142,artyom,AZ,2021-01-13 15:27:22,40.4723,50.333,90,87,48.469999999999956,10.29
143,vaini,TO,2021-01-13 15:16:15,-21.2,-175.2,40,83,82.66999999999996,4.63
144,maniitsoq,GL,2021-01-13 15:27:22,65.4167,-52.9,100,97,22.31600000000001,1.79
145,raudeberg,NO,2021-01-13 15:16:46,61.9875,5.1352,0,64,30.46999999999996,4.12
146,mount gambier,AU,2021-01-13 15:20:31,-37.8333,140.7667,0,93,48.469999999999956,1.03
147,pisco,PE,2021-01-13 15:20:07,-13.7,-76.2167,0,65,77.26999999999995,9.77
148,norman wells,CA,2021-01-13 15:15:59,65.282,-126.8329,90,85,5.269999999999957,8.23
149,anito,PH,2021-01-13 15:27:22,12.4497,125.2886,100,88,78.69200000000001,1.75
150,ligayan,PH,2021-01-13 15:27:23,4.6533,119.4706,100,79,82.52599999999998,2.11
151,tupa,BR,2021-01-13 15:27:23,-21.9347,-50.5136,75,94,73.66999999999996,4.12
152,ketchikan,US,2021-01-13 15:20:24,55.3422,-131.6461,75,93,37.66999999999996,4.12
153,vila velha,BR,2021-01-13 15:20:45,-20.3297,-40.2925,20,74,82.66999999999996,7.2
154,vardo,NO,2021-01-13 15:20:00,70.3705,31.1107,40,78,7.069999999999958,10.07
155,aranos,NA,2021-01-13 15:27:23,-24.1333,19.1167,52,54,79.55600000000004,3.33
156,bluff,NZ,2021-01-13 15:20:08,-46.6,168.3333,21,94,59.26999999999996,4.47
157,male,MV,2021-01-13 15:20:57,4.1748,73.5089,75,83,82.66999999999996,3.6
158,quatre cocos,MU,2021-01-13 15:27:24,-20.2078,57.7625,75,94,78.27799999999996,1.03
159,bissau,GW,2021-01-13 15:27:24,11.8636,-15.5977,0,47,80.86999999999996,1.03
160,tiksi,RU,2021-01-13 15:20:19,71.6872,128.8694,35,81,-33.196,0.81
161,cherskiy,RU,2021-01-13 15:16:19,68.75,161.3,100,89,-13.88200000000002,3.24
162,kemin,KG,2021-01-13 15:22:44,42.7846,75.6892,88,90,25.574000000000012,1.91
163,port blair,IN,2021-01-13 15:16:23,11.6667,92.75,0,77,77.43200000000002,4.95
164,mbekenyera,TZ,2021-01-13 15:27:24,-10,38.9833,41,96,72.19399999999997,2.94
165,khonuu,,,,,,,,
166,madimba,TZ,2021-01-13 15:27:24,-10.4,40.3333,40,89,79.06999999999996,5.14
167,sayyan,YE,2021-01-13 15:27:24,15.1718,44.3244,0,63,43.285999999999966,1.15
168,kerki,,,,,,,,
169,iqaluit,CA,2021-01-13 15:20:25,63.7506,-68.5145,20,70,-8.733999999999995,5.14
170,hamilton,US,2021-01-13 15:27:24,39.1834,-84.5333,1,46,48.469999999999956,6.69
171,bredasdorp,ZA,2021-01-13 15:17:33,-34.5322,20.0403,100,78,70.06999999999996,7.2
172,kourou,GF,2021-01-13 15:27:25,5.1552,-52.6478,75,74,82.66999999999996,5.66
173,hithadhoo,MV,2021-01-13 15:16:06,-0.6,73.0833,100,74,82.38200000000002,9.36
174,sibolga,ID,2021-01-13 15:27:25,1.7427,98.7792,98,68,76.78399999999999,2.16
175,katangli,RU,2021-01-13 15:16:25,51.7102,143.2326,100,95,6.422000000000036,9.57
176,sentyabrskiy,,,,,,,,
177,satitoa,,,,,,,,
178,belushya guba,,,,,,,,
179,fuldatal,DE,2021-01-13 15:27:25,51.3833,9.5667,100,70,37.66999999999996,4.63
180,binika,IN,2021-01-13 15:27:25,21.0333,83.8,0,45,60.20600000000003,0.6
181,chimbote,PE,2021-01-13 15:26:15,-9.0853,-78.5783,37,71,75.25399999999996,5.8
182,sovetskaya gavan,RU,2021-01-13 15:27:25,48.9723,140.2878,12,91,4.4599999999999795,1.51
183,kattivakkam,IN,2021-01-13 15:20:09,13.2167,80.3167,20,94,77.26999999999995,2.74
184,severo-kurilsk,RU,2021-01-13 15:16:02,50.6789,156.125,13,86,18.10399999999995,5.14
185,esperance,AU,2021-01-13 15:20:09,-33.8667,121.9,40,71,53.86999999999996,3.09
186,grindsted,DK,2021-01-13 15:27:26,55.754,8.9123,90,86,33.27799999999996,6.69
187,tazovskiy,RU,2021-01-13 15:20:03,67.4667,78.7,100,95,5.306000000000029,3.1
188,wajir,KE,2021-01-13 15:27:26,1.7471,40.0573,0,27,84.95600000000003,3.12
189,tsihombe,,,,,,,,
190,kenora,CA,2021-01-13 15:20:25,49.8167,-94.4337,40,69,30.46999999999996,2.57
191,pedernales,DO,2021-01-13 15:20:50,18.0384,-71.744,2,51,83.24600000000005,1.93
192,nelson bay,AU,2021-01-13 15:26:08,-32.7167,152.15,0,94,68.26999999999995,2.06
193,tierralta,CO,2021-01-13 15:27:26,8.1736,-76.0592,100,68,86.18000000000004,2.41
194,veraval,IN,2021-01-13 15:20:03,20.9,70.3667,29,34,70.23200000000003,4.28
195,san andres,CO,2021-01-13 15:20:22,12.5847,-81.7006,75,74,84.46999999999997,6.17
196,alice springs,AU,2021-01-13 15:20:49,-23.7,133.8833,0,49,77.26999999999995,1.54
197,nouadhibou,MR,2021-01-13 15:16:41,20.931,-17.0347,0,59,64.66999999999996,7.72
198,half moon bay,US,2021-01-13 15:26:59,37.4636,-122.4286,75,77,66.27200000000005,4.63
199,port elizabeth,ZA,2021-01-13 15:17:33,-33.918,25.5701,90,94,70.06999999999996,4.63
200,svetlogorsk,BY,2021-01-13 15:27:27,52.6333,29.7333,96,98,21.038000000000046,2.78
201,aykhal,RU,2021-01-13 15:23:18,66,111.5,100,82,-29.271999999999984,4.29
202,kaeo,NZ,2021-01-13 15:27:27,-35.1,173.7833,50,82,70.26799999999999,3.58
203,barentsburg,,,,,,,,
204,yar-sale,RU,2021-01-13 15:27:27,66.8333,70.8333,100,90,4.135999999999967,7.55
205,bargal,,,,,,,,
206,kalugumalai,IN,2021-01-13 15:27:27,9.15,77.7167,100,92,73.99399999999997,3.86
207,narsaq,GL,2021-01-13 15:16:24,60.9167,-46.05,90,80,30.46999999999996,1.03
208,samarai,PG,2021-01-13 15:19:59,-10.6167,150.6667,100,77,82.99399999999997,3.08
209,bambanglipuro,ID,2021-01-13 15:27:28,-7.95,110.2833,100,82,77.77400000000002,2.5
210,pangnirtung,CA,2021-01-13 15:20:37,66.1451,-65.7125,1,77,-10.929999999999993,1.03
211,florencia,IT,2021-01-13 15:24:47,43.7667,11.25,3,93,38.26400000000003,1.03
212,parana,AR,2021-01-13 15:27:16,-31.732,-60.5238,0,24,92.26400000000004,1.79
213,karasburg,NA,2021-01-13 15:27:28,-28.0167,18.75,99,57,78.00800000000001,9.22
214,naryshkino,RU,2021-01-13 15:27:28,52.9678,35.7268,100,97,17.491999999999997,8.48
215,ondorhaan,,,,,,,,
216,illoqqortoormiut,,,,,,,,
217,show low,US,2021-01-13 15:25:31,34.2542,-110.0298,1,17,55.274000000000015,3.09
218,talaya,RU,2021-01-13 15:20:19,61.3833,152.75,100,81,-30.51399999999998,1.39
219,vao,NC,2021-01-13 15:16:50,-22.6667,167.4833,90,84,77.30600000000004,8.17
220,port moresby,PG,2021-01-13 15:27:28,-9.4431,147.1797,20,100,75.46999999999997,4.12
221,mangla,PK,2021-01-13 15:27:28,31.8931,72.3817,0,38,51.116000000000014,1.02
222,samusu,,,,,,,,
223,pavlivka,UA,2021-01-13 15:27:29,49.4414,28.4596,100,96,29.03000000000004,5.41
224,arraial do cabo,BR,2021-01-13 15:16:25,-22.9661,-42.0278,0,69,84.46999999999997,8.23
225,clifton,US,2021-01-13 15:26:51,40.8584,-74.1638,90,52,43.06999999999996,3.6
226,ekibastuz,KZ,2021-01-13 15:24:50,51.6667,75.3667,0,84,-21.963999999999984,4.08
227,chapais,CA,2021-01-13 15:16:28,49.7834,-74.8492,90,93,28.66999999999996,5.66
228,yarmouth,US,2021-01-13 15:25:03,41.7057,-70.2286,1,60,39.469999999999956,4.63
229,salamiyah,SY,2021-01-13 15:27:29,35.0113,37.0532,33,68,57.07400000000001,7.09
230,basoko,CD,2021-01-13 15:27:29,1.2391,23.616,98,49,78.18800000000005,0.96
231,laguna,US,2021-01-13 15:27:29,38.421,-121.4238,40,72,65.26400000000004,2.06
232,naze,JP,2021-01-13 15:20:41,28.3667,129.4833,0,64,52.141999999999996,2.13
233,kodinsk,RU,2021-01-13 15:27:29,58.6881,99.1844,100,87,-15.10599999999998,2.47
234,atar,MR,2021-01-13 15:27:29,20.5169,-13.0499,46,26,65.44399999999997,4.56
235,babstovo,RU,2021-01-13 15:27:30,48.1167,132.4833,100,92,1.9939999999999714,2.75
236,marcona,,,,,,,,
237,almaznyy,RU,2021-01-13 15:27:30,48.0448,40.045,75,100,35.86999999999996,7
238,shumskiy,RU,2021-01-13 15:27:30,54.8318,99.1328,0,85,-11.667999999999985,0.95
239,hami,CN,2021-01-13 15:19:12,42.8,93.45,77,87,15.206000000000028,0.79
240,umm bab,QA,2021-01-13 15:27:30,25.2142,50.8072,1,62,57.469999999999956,2.06
241,porto novo,BJ,2021-01-13 15:20:05,6.4965,2.6036,20,83,82.66999999999996,5.14
242,shache,CN,2021-01-13 15:27:30,38.4167,77.2406,0,54,34.66400000000003,2.61
243,buhoci,RO,2021-01-13 15:27:31,46.5667,27.0167,75,100,30.46999999999996,3.6
244,airai,TL,2021-01-13 15:20:07,-8.9266,125.4092,96,100,61.969999999999956,0.45
245,atuona,PF,2021-01-13 15:20:07,-9.8,-139.0333,72,77,77.91799999999998,7.43
246,tokmak,UA,2021-01-13 15:20:28,47.2514,35.7058,73,96,26.564000000000032,5
